{'诊断': '慢性结/直肠炎/溃疡性结肠炎', '病情现状': '腹泻，腹痛，里急后重，下坠感，粪便中带有血和粘液，贫血', '': '直肠炎或直肠乙状结肠炎（累及远端 30 cm 结肠粘膜的疾病）', '检查项目': '血常规、血沉、大便常规、肠镜及病理', '项目结果': '直肠炎或直肠乙状结肠炎（累及远端 30 cm 结肠粘膜的疾病）', '重疾险': '延期', '防癌': '延期', '护理': '标体', '医疗险': '延期', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}
{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '由于其他已知病因', '检查项目': '病历、肠道超声、物理检查', '项目结果': '接受过手术，单次发作，无症状（如疼痛、体重减轻）', '重疾险': '按病因评点', '防癌': '按病因评点', '护理': '按病因评点', '医疗险': '按病因评点', '意外险': '按病因评点', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '≤ 6 个月', '检查项目': '病历、肠道超声、物理检查', '项目结果': '接受过手术，单次发作，无症状（如疼痛、体重减轻）', '重疾险': '延期', '防癌': '延期', '护理': '延期', '医疗险': '延期', '意外险': '延期', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '6 个月至 2 年', '检查项目': '病历、肠道超声、物理检查', '项目结果': '接受过手术，单次发作，无症状（如疼痛、体重减轻）', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '延期', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '> 2 年', '检查项目': '病历、肠道超声、物理检查', '项目结果': '接受过手术，单次发作，无症状（如疼痛、体重减轻）', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '多次发作或有症状（如疼痛、体重减轻）', '检查项目': '病历、肠道超声、物理检查', '项目结果': '多次发作或有症状（如疼痛、体重减轻）', '重疾险': '延期', '防癌': '延期', '护理': '延期', '医疗险': '延期', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '≤ 6 个月', '检查项目': '病历、肠道超声、物理检查', '项目结果': '婴儿肠梗阻/肠套叠', '重疾险': '延期', '防癌': '延期', '护理': '延期', '医疗险': '延期', '意外险': '延期', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '>6个月', '检查项目': '病历、肠道超声、物理检查', '项目结果': '婴儿肠梗阻/肠套叠', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '≤ 6 个月', '检查项目': '病历、肠道超声、物理检查', '项目结果': '婴儿肠梗阻/肠套叠', '重疾险': '延期', '防癌': '延期', '护理': '延期', '医疗险': '延期', '意外险': '延期', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '>6个月', '检查项目': '病历、肠道超声、物理检查', '项目结果': '婴儿肠梗阻/肠套叠', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': '完全恢复'}

{'诊断': '肠吸收不良', '病情现状': '腹泻、腹部不适、体重减轻', '': '病因不明', '检查项目': '血常规、大便常规', '项目结果': '病因不明', '重疾险': '拒保', '防癌': '拒保', '护理': '拒保', '医疗险': '拒保', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠吸收不良', '病情现状': '腹泻、腹部不适、体重减轻', '': '胰腺疾病', '检查项目': '血常规、大便常规', '项目结果': '病因明确', '重疾险': '拒保', '防癌': '拒保', '护理': '拒保', '医疗险': '拒保', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠吸收不良', '病情现状': '腹泻、腹部不适、体重减轻', '': ' 细菌过度生长', '检查项目': '血常规、大便常规', '项目结果': '病因明确', '重疾险': '拒保', '防癌': '拒保', '护理': '拒保', '医疗险': '拒保', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠吸收不良', '病情现状': '腹泻、腹部不适、体重减轻', '': '其他病因', '检查项目': '血常规、大便常规', '项目结果': '病因明确', '重疾险': '按病因评点', '防癌': '按病因评点', '护理': '按病因评点', '医疗险': '按病因评点', '意外险': '按病因评点', '特殊说明': ''}

{'诊断': '痔疮', '病情现状': '现症', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外', '意外险': '标体', '特殊说明': ''}

{'诊断': '痔疮', '病情现状': '手术后', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外', '意外险': '标体', '特殊说明': ''}

{'诊断': '痔疮', '病情现状': '如合并贫血，则增加相应评点', '': '如合并贫血，则增加相应评点', '检查项目': '如合并贫血，则增加相应评点', '项目结果': '如合并贫血，则增加相应评点', '重疾险': '如合并贫血，则增加相应评点', '防癌': '如合并贫血，则增加相应评点', '护理': '如合并贫血，则增加相应评点', '医疗险': '如合并贫血，则增加相应评点', '意外险': '如合并贫血，则增加相应评点', '特殊说明': '如合并贫血，则增加相应评点'}

{'诊断': '肛裂', '病情现状': '现症', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外/延期', '意外险': '标体', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛裂', '病情现状': '手术后', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外', '意外险': '标体', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛裂', '病情现状': '如存在其他病因，则按“相应病因”评点', '': '如存在其他病因，则按“相应病因”评点', '检查项目': '如存在其他病因，则按“相应病因”评点', '项目结果': '如存在其他病因，则按“相应病因”评点', '重疾险': '如存在其他病因，则按“相应病因”评点', '防癌': '如存在其他病因，则按“相应病因”评点', '护理': '如存在其他病因，则按“相应病因”评点', '医疗险': '如存在其他病因，则按“相应病因”评点', '意外险': '如存在其他病因，则按“相应病因”评点', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛瘘', '病情现状': '现症', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外/延期', '意外险': '标体', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛瘘', '病情现状': '手术后', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外', '意外险': '标体', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛瘘', '病情现状': '如存在其他病因，则按“相应病因”评点', '': '如存在其他病因，则按“相应病因”评点', '检查项目': '如存在其他病因，则按“相应病因”评点', '项目结果': '如存在其他病因，则按“相应病因”评点', '重疾险': '如存在其他病因，则按“相应病因”评点', '防癌': '如存在其他病因，则按“相应病因”评点', '护理': '如存在其他病因，则按“相应病因”评点', '医疗险': '如存在其他病因，则按“相应病因”评点', '意外险': '如存在其他病因，则按“相应病因”评点', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛周脓肿', '病情现状': '现症', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外/延期', '意外险': '标体', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛周脓肿', '病情现状': '手术后', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '除外', '意外险': '标体', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '肛周脓肿', '病情现状': '如存在其他病因，则按“相应病因”评点', '': '如存在其他病因，则按“相应病因”评点', '检查项目': '如存在其他病因，则按“相应病因”评点', '项目结果': '如存在其他病因，则按“相应病因”评点', '重疾险': '如存在其他病因，则按“相应病因”评点', '防癌': '如存在其他病因，则按“相应病因”评点', '护理': '如存在其他病因，则按“相应病因”评点', '医疗险': '如存在其他病因，则按“相应病因”评点', '意外险': '如存在其他病因，则按“相应病因”评点', '特殊说明': '1、关注血糖；\n2、除外/延期：治疗期间延期，稳定期可除外'}

{'诊断': '腺瘤、息肉', '病情现状': '腹泻、大便性状或习惯改变、腹部不适', '': '未手术/手术', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '家族性腺瘤样息肉病 (FAP)', '重疾险': '拒保', '防癌': '拒保', '护理': '拒保', '医疗险': '拒保', '意外险': '标体', '特殊说明': ''}

{'诊断': '腺瘤、息肉', '病情现状': '腹泻、大便性状或习惯改变、腹部不适', '': '未切除或息肉超过3个', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '非 FAP 息肉或腺瘤', '重疾险': '延期', '防癌': '延期', '护理': '延期', '医疗险': '延期', '意外险': '标体', '特殊说明': ''}

{'诊断': '腺瘤、息肉', '病情现状': '腹泻、大便性状或习惯改变、腹部不适', '': '病理诊断为炎性息肉或增生性息肉，且未见不典型增生或异型增生或细胞异型性或肠化生，且近6个月内复查肠镜未见复发', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '非 FAP 息肉或腺瘤', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

{'诊断': '腺瘤、息肉', '病情现状': '腹泻、大便性状或习惯改变、腹部不适', '': '病理为管状或管状绒毛状腺瘤，术后满3年，且近6个月内复查肠镜未见复发', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '非 FAP 息肉或腺瘤', '重疾险': '除外', '防癌': '除外', '护理': '标体', '医疗险': '除外', '意外险': '标体', '特殊说明': ''}

{'诊断': '腺瘤、息肉', '病情现状': '腹泻、大便性状或习惯改变、腹部不适', '': '有不典型增生', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '非 FAP 息肉或腺瘤', '重疾险': '拒保', '防癌': '拒保', '护理': '拒保', '医疗险': '拒保', '意外险': '标体', '特殊说明': ''}

{'诊断': '便潜血', '病情现状': '仅为体检发现，单次异常', '': '复查正常，无病史', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '复查正常，无病史', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

{'诊断': '便潜血', '病情现状': '多次异常', '': '需明确病因', '检查项目': '病历、大便潜血、肠镜及病理', '项目结果': '需明确病因', '重疾险': '依据病因进行审核', '防癌': '依据病因进行审核', '护理': '依据病因进行审核', '医疗险': '依据病因进行审核', '意外险': '依据病因进行审核', '特殊说明': ''}

{'诊断': '结直肠癌', '病情现状': '腹痛、腹泻、腹部包块', '': '——', '检查项目': '——', '项目结果': '——', '重疾险': '拒保', '防癌': '拒保', '护理': '拒保', '医疗险': '拒保', '意外险': '延期', '特殊说明': ''}

